ProductID,ProductName,Tags,IndustryFocus,AccountTypeFocus
ms-1,Message to Outcome Visibility,"Messaging, Outcomes, Engagement, Conversion, Journey Analytics, Retail Tech, SAAS, IT/ITES, CPAAS, Large Enterprise, ManagementISV, Non-management ISV, ASP (Application Service Provider), Customer, Analyst, Prospect, Integrator, Investor, Press, Reseller, Supplier, Vendor","Retail Tech, SAAS, IT/ITES, CPAAS, Large Enterprise, ManagementISV, Non-management ISV, ASP (Application Service Provider)","Customer, Analyst, Prospect, Integrator, Investor, Press, Reseller, Supplier, Vendor"
ms-2,Microsite Engagement Intelligence,"Engagement, Behavioral Signals, Attention, Intent, Exploration, Retail Tech, Retail, SAAS, ManagementISV, Non-management ISV, HR Tech, Small/Medium Enterprise, ERP (Enterprise Resource Planning), Customer, Analyst, Integrator, Vendor, Reseller, Investor, Partner, Supplier, Press","Retail Tech, Retail, SAAS, ManagementISV, Non-management ISV, HR Tech, Small/Medium Enterprise, ERP (Enterprise Resource Planning)","Customer, Analyst, Integrator, Vendor, Reseller, Investor, Partner, Supplier, Press"
ms-3,Cross-Session Journey Continuity,"Cross-Session, Journey, Continuity, User Return, Context, Service Provider, MSP (Management Service Provider), IT/ITES, SAAS, Storage Service Provider, Optical Networking, Systems Integrator, CPAAS, Customer, Partner, Distributor, Prospect, Supplier, Reseller, Integrator, Analyst, Press, Investor, Competitor","Service Provider, MSP (Management Service Provider), IT/ITES, SAAS, Storage Service Provider, Optical Networking, Systems Integrator, CPAAS","Customer, Partner, Distributor, Prospect, Supplier, Reseller, Integrator, Analyst, Press, Investor, Competitor"
ms-4,Campaign-to-Conversion Attribution,"Attribution, Campaign, Conversion, Multi-touch, Revenue, Large Enterprise, Systems Integrator, ERP (Enterprise Resource Planning), Network Equipment Enterprise, Retail, Retail Tech, Automotive, SAAS, Analyst, Investor, Competitor, Customer, Partner, Press, Supplier","Large Enterprise, Systems Integrator, ERP (Enterprise Resource Planning), Network Equipment Enterprise, Retail, Retail Tech, Automotive, SAAS","Analyst, Investor, Competitor, Customer, Partner, Press, Supplier"
ms-5,Decision Transparency,"Automation, Decision, Visibility, Explainability, Compliance, BFSI, NBFC, Government/Military, Large Enterprise, ManagementISV, Systems Integrator, IT/ITES, Wireless Industry, Analyst, Vendor, Supplier, Customer, Competitor, Other, Prospect, Distributor, Integrator","BFSI, NBFC, Government/Military, Large Enterprise, ManagementISV, Systems Integrator, IT/ITES, Wireless Industry","Analyst, Vendor, Supplier, Customer, Competitor, Other, Prospect, Distributor, Integrator"
ms-6,High-Intent Conversion Detection,"Intent, Behavioral Signals, Conversion, High-Intent, Engagement, Data/Telecom OEM, Automotive, Storage Equipment, Small/Medium Enterprise, Retail, Retail Tech, SAAS, CPAAS, Prospect, Integrator, Other, Customer, Reseller, Competitor, Distributor, Press","Data/Telecom OEM, Automotive, Storage Equipment, Small/Medium Enterprise, Retail, Retail Tech, SAAS, CPAAS","Prospect, Integrator, Other, Customer, Reseller, Competitor, Distributor, Press"
ec-1,Messaging-to-Revenue Attribution,"Revenue, Attribution, Messaging, Purchase, Commerce, Impact, Retail, Retail Tech, SAAS, Large Enterprise, BFSI, NBFC, Service Provider, ManagementISV, Customer, Analyst, Investor, Partner, Distributor, Integrator, Press, Other","Retail, Retail Tech, SAAS, Large Enterprise, BFSI, NBFC, Service Provider, ManagementISV","Customer, Analyst, Investor, Partner, Distributor, Integrator, Press, Other"
ec-2,Product Interaction Context,"Product Interest, Exploration, Comparison, Intent, Behavioral Signals, Small/Medium Enterprise, Retail, Retail Tech, HR Tech, CPAAS, ASP (Application Service Provider), Non-management ISV, ERP (Enterprise Resource Planning), Customer, Integrator, Prospect, Reseller, Other, Distributor, Competitor, Supplier","Small/Medium Enterprise, Retail, Retail Tech, HR Tech, CPAAS, ASP (Application Service Provider), Non-management ISV, ERP (Enterprise Resource Planning)","Customer, Integrator, Prospect, Reseller, Other, Distributor, Competitor, Supplier"
ec-3,Checkout Experience Insight,"Checkout, Drop-off, Conversion, Friction, Funnel, Retail, Retail Tech, Large Enterprise, ERP (Enterprise Resource Planning), Systems Integrator, ASP (Application Service Provider), IT/ITES, SAAS, Customer, Analyst, Prospect, Distributor, Vendor, Press, Reseller","Retail, Retail Tech, Large Enterprise, ERP (Enterprise Resource Planning), Systems Integrator, ASP (Application Service Provider), IT/ITES, SAAS","Customer, Analyst, Prospect, Distributor, Vendor, Press, Reseller"
ec-4,Cross-Device Commerce Journey,"Cross-Device, Journey, Continuity, Purchase Path, Mobile, Network Equipment Enterprise, Optical Networking, Storage Service Provider, Wireless Industry, Data/Telecom OEM, MSP (Management Service Provider), IT/ITES, SAAS, Partner, Supplier, Other, Integrator, Distributor, Prospect, Vendor, Analyst","Network Equipment Enterprise, Optical Networking, Storage Service Provider, Wireless Industry, Data/Telecom OEM, MSP (Management Service Provider), IT/ITES, SAAS","Partner, Supplier, Other, Integrator, Distributor, Prospect, Vendor, Analyst"
